"sample.no","complexity","depth","year.x","","sanctuary","status","site.new","year.y"
1,0,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
2,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
3,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
4,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
5,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
6,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
7,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
8,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
9,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
10,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
11,3,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
12,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
13,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
14,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
15,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
16,3,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
17,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
18,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
19,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
20,0,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
21,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
22,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
23,3,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
24,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
25,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
26,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
27,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
28,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
29,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
30,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
31,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
32,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
33,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
34,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
35,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
36,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
37,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
38,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
39,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
40,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
41,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
42,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
43,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
44,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
45,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
46,2,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
47,1,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
48,4,0,2014,NA,"Armstrong Bay","No-take","Armstrong Bay.No-take.Little Armstrong",2014
